STATION,Year,LATITUDE,LONGITUDE,ELEVATION,PRCP,SNOW,SNWD,TMAX,TMIN
USC00114198,1965,40.4664,-87.6851,216.4,749.0,81.0,102.0,356.0,244.0
USC00114198,1966,40.4664,-87.6851,216.4,630.0,41.0,51.0,372.0,250.0
USC00114198,1967,40.4664,-87.6851,216.4,589.0,51.0,76.0,339.0,222.0
USC00114198,1968,40.4664,-87.6851,216.4,668.0,51.0,178.0,350.0,239.0
USC00114198,1969,40.4664,-87.6851,216.4,615.0,71.0,76.0,350.0,244.0
USC00114198,1970,40.4664,-87.6851,216.4,737.0,81.0,102.0,372.0,250.0
USC00114198,1971,40.4664,-87.6851,216.4,836.0,97.0,102.0,361.0,244.0
USC00114198,1972,40.4664,-87.6851,216.4,406.0,64.0,76.0,339.0,239.0
USC00114198,1973,40.4664,-87.6851,216.4,493.0,38.0,25.0,339.0,228.0
USC00114198,1974,40.4664,-87.6851,216.4,594.0,137.0,279.0,367.0,233.0
USC00114198,1975,40.4664,-87.6851,216.4,513.0,81.0,76.0,339.0,233.0
USC00114198,1976,40.4664,-87.6851,216.4,676.0,76.0,76.0,350.0,228.0
USC00114198,1977,40.4664,-87.6851,216.4,757.0,46.0,152.0,372.0,244.0
USC00114198,1978,40.4664,-87.6851,216.4,419.0,102.0,152.0,344.0,244.0
USC00114198,1979,40.4664,-87.6851,216.4,427.0,160.0,254.0,333.0,233.0
USC00114198,1980,40.4664,-87.6851,216.4,594.0,71.0,127.0,378.0,261.0
USC00114198,1981,40.4664,-87.6851,216.4,615.0,89.0,102.0,344.0,250.0
USC00114198,1982,40.4664,-87.6851,216.4,658.0,114.0,279.0,339.0,233.0
USC00114198,1983,40.4664,-87.6851,216.4,765.0,114.0,102.0,378.0,244.0
USC00114198,1984,40.4664,-87.6851,216.4,523.0,152.0,178.0,350.0,250.0
USC00114198,1985,40.4664,-87.6851,216.4,559.0,81.0,178.0,344.0,250.0
USC00114198,1986,40.4664,-87.6851,216.4,442.0,46.0,76.0,350.0,239.0
USC00114198,1987,40.4664,-87.6851,216.4,503.0,127.0,203.0,356.0,244.0
USC00114198,1988,40.4664,-87.6851,216.4,445.0,76.0,127.0,400.0,250.0
USC00114198,1989,40.4664,-87.6851,216.4,452.0,81.0,178.0,356.0,239.0
USC00114198,1990,40.4664,-87.6851,216.4,1003.0,51.0,76.0,361.0,244.0
USC00114198,1991,40.4664,-87.6851,216.4,500.0,112.0,152.0,372.0,250.0
USC00114198,1992,40.4664,-87.6851,216.4,439.0,71.0,76.0,350.0,228.0
USC00114198,1993,40.4664,-87.6851,216.4,787.0,114.0,178.0,339.0,239.0
USC00114198,1994,40.4664,-87.6851,216.4,1356.0,61.0,102.0,356.0,233.0
USC00114198,1995,40.4664,-87.6851,216.4,640.0,46.0,102.0,378.0,261.0
USC00114198,1996,40.4664,-87.6851,216.4,541.0,102.0,127.0,344.0,256.0
USC00114198,1997,40.4664,-87.6851,216.4,673.0,102.0,229.0,350.0,256.0
USC00114198,1998,40.4664,-87.6851,216.4,592.0,0.0,178.0,356.0,261.0
USC00114198,1999,40.4664,-87.6851,216.4,767.0,254.0,0.0,372.0,261.0
USC00114198,2000,40.4664,-87.6851,216.4,630.0,152.0,203.0,344.0,239.0
USC00114198,2001,40.4664,-87.6851,216.4,660.0,127.0,178.0,344.0,261.0
USC00114198,2002,40.4664,-87.6851,216.4,1585.0,102.0,152.0,350.0,244.0
USC00114198,2003,40.4664,-87.6851,216.4,815.0,178.0,178.0,356.0,306.0
USC00114198,2004,40.4664,-87.6851,216.4,1024.0,102.0,127.0,322.0,239.0
USC00114198,2005,40.4664,-87.6851,216.4,511.0,76.0,76.0,356.0,250.0
USC00114198,2006,40.4664,-87.6851,216.4,1306.0,152.0,152.0,339.0,239.0
USC00114198,2007,40.4664,-87.6851,216.4,478.0,241.0,279.0,361.0,244.0
USC00114198,2008,40.4664,-87.6851,216.4,968.0,178.0,178.0,333.0,244.0
USC00114198,2009,40.4664,-87.6851,216.4,691.0,51.0,152.0,344.0,239.0
USC00114198,2010,40.4664,-87.6851,216.4,427.0,102.0,102.0,344.0,256.0
USC00114198,2011,40.4664,-87.6851,216.4,384.0,150.0,229.0,378.0,250.0
USC00114198,2012,40.4664,-87.6851,216.4,909.0,76.0,102.0,394.0,250.0
USC00114198,2013,40.4664,-87.6851,216.4,422.0,112.0,178.0,367.0,233.0
USC00114198,2014,40.4664,-87.6851,216.4,648.0,203.0,229.0,339.0,228.0
USC00114198,2015,40.4664,-87.6851,216.4,1034.0,147.0,178.0,339.0,228.0
USC00114198,2016,40.4664,-87.6851,216.4,607.0,132.0,102.0,344.0,233.0
USC00114198,2017,40.4664,-87.6851,216.4,1011.0,94.0,76.0,350.0,233.0
USC00114198,2018,40.4664,-87.6851,216.4,833.0,130.0,178.0,361.0,244.0
USC00114198,2019,40.4664,-87.6851,216.4,599.0,188.0,178.0,350.0,256.0
USC00114198,2020,40.4664,-87.6851,216.4,566.0,97.0,76.0,339.0,250.0
USC00114198,2021,40.4664,-87.6851,216.4,955.0,249.0,330.0,350.0,244.0
USC00114198,2022,40.4664,-87.6851,216.4,503.0,206.0,254.0,361.0,250.0
USC00114198,2023,40.4664,-87.6851,216.4,795.0,58.0,25.0,350.0,256.0
USC00114198,2024,40.4664,-87.6851,216.4,688.0,122.0,102.0,350.0,256.0
USC00120177,1951,40.1167,-85.68131,256.9,399.0,152.0,152.0,372.0,250.0
USC00120177,1952,40.1167,-85.68131,256.9,554.0,102.0,102.0,367.0,250.0
USC00120177,1953,40.1167,-85.68131,256.9,686.0,152.0,76.0,394.0,239.0
USC00120177,1954,40.1167,-85.68131,256.9,508.0,102.0,51.0,406.0,239.0
USC00120177,1955,40.1167,-85.68131,256.9,409.0,130.0,127.0,367.0,233.0
USC00120177,1956,40.1167,-85.68131,256.9,513.0,76.0,102.0,356.0,239.0
USC00120177,1957,40.1167,-85.68131,256.9,1107.0,114.0,102.0,344.0,222.0
USC00120177,1958,40.1167,-85.68131,256.9,815.0,114.0,127.0,322.0,233.0
USC00120177,1959,40.1167,-85.68131,256.9,693.0,102.0,102.0,356.0,244.0
USC00120177,1960,40.1167,-85.68131,256.9,437.0,135.0,203.0,350.0,206.0
USC00120177,1961,40.1167,-85.68131,256.9,699.0,191.0,178.0,333.0,222.0
USC00120177,1962,40.1167,-85.68131,256.9,607.0,140.0,127.0,372.0,206.0
USC00120177,1963,40.1167,-85.68131,256.9,607.0,76.0,178.0,350.0,228.0
USC00120177,1964,40.1167,-85.68131,256.9,648.0,142.0,152.0,367.0,217.0
USC00120177,1965,40.1167,-85.68131,256.9,638.0,178.0,254.0,350.0,239.0
USC00120177,1966,40.1167,-85.68131,256.9,424.0,183.0,178.0,367.0,233.0
USC00120177,1967,40.1167,-85.68131,256.9,409.0,79.0,76.0,339.0,217.0
USC00120177,1968,40.1167,-85.68131,256.9,559.0,127.0,254.0,333.0,233.0
USC00120177,1969,40.1167,-85.68131,256.9,597.0,64.0,76.0,333.0,233.0
USC00120177,1970,40.1167,-85.68131,256.9,445.0,89.0,279.0,367.0,239.0
USC00120177,1971,40.1167,-85.68131,256.9,381.0,89.0,102.0,344.0,222.0
USC00120177,1972,40.1167,-85.68131,256.9,475.0,51.0,51.0,328.0,233.0
USC00120177,1973,40.1167,-85.68131,256.9,513.0,102.0,102.0,322.0,233.0
USC00120177,1974,40.1167,-85.68131,256.9,566.0,203.0,305.0,333.0,222.0
USC00120177,1975,40.1167,-85.68131,256.9,508.0,124.0,127.0,339.0,222.0
USC00120177,1976,40.1167,-85.68131,256.9,838.0,94.0,178.0,333.0,233.0
USC00120177,1977,40.1167,-85.68131,256.9,556.0,76.0,203.0,361.0,239.0
USC00120177,1978,40.1167,-85.68131,256.9,495.0,279.0,305.0,344.0,244.0
USC00120177,1979,40.1167,-85.68131,256.9,508.0,178.0,254.0,317.0,239.0
USC00120177,1980,40.1167,-85.68131,256.9,711.0,102.0,51.0,394.0,267.0
USC00120177,1981,40.1167,-85.68131,256.9,635.0,38.0,51.0,339.0,244.0
USC00120177,1982,40.1167,-85.68131,256.9,483.0,254.0,254.0,344.0,244.0
USC00120177,1983,40.1167,-85.68131,256.9,798.0,38.0,51.0,367.0,244.0
